"","x"
"CELL335_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL847_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL87_N2_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL80_N2_3T26-1-210413","Glu_15_CA_ABI3BP"
"CELL784_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL1020_N1_3T26-1-210413","GABA_8_Lamp5_NMBR"
"CELL38_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL504_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL364_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL91_N2_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL1185_N1_3T26-1-210413","Glu_9_CA_AADAT"
"CELL434_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL988_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL122_N3_3T26-1-210413","Glu_9_CA_AADAT"
"CELL959_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL686_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL25_N2_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL1229_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL468_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL244_N2_3T26-1-210413","GABA_1_Lamp5_NWD2"
"CELL555_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL704_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1035_N1_3T26-1-210413","GABA_6_Vip_CBLN2"
"CELL1398_N1_3T26-1-210413","astrocyte_7_astrocyte_astrocyte"
"CELL24_N5_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL521_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL188_N4_3T26-1-210413","Glu_6_CA_CA2"
"CELL183_N3_3T26-1-210413","Glu_6_CA_CA2"
"CELL469_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL690_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL571_N1_3T26-1-210413","GABA_1_Lamp5_NWD2"
"CELL206_N2_3T26-1-210413","Glu_9_CA_AADAT"
"CELL135_N5_3T26-1-210413","Glu_19_CA_HHIP"
"CELL258_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL252_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL11_N2_3T26-1-210413","GABA_0_Sst_TRHDE"
